
#Sample Authentication Data:

# define service
# define_service, <service_id>, <service_name>, <service_description>
define_service,  product_api_service, Product API Service, Product Management and Access
define_service,  collection_service, Collection Service, Collection Management and Access

# define permissions
# define_permission, <service_id>, <permission_id>, <permission_name>, <permission_description>
define_permission, collection_service, create_collection, Create Collection Permission, Permission to create a new collection
define_permission, collection_service, add_content, Add Collection Content Permission, Permission to add content to a collection
define_permission, product_api_service, create_product, Create Product Permission, Permission to create a new product
define_permission, product_api_service, create_country, Create Country Permission, Permission to create a new country
define_permission, product_api_service, create_device, Create Device Permission, Permission to create a new device

# define roles
# define_role, <role_id>, <role_name>, <role_description>
define_role, collection_admin_role, Collection Admin, All permissions required by collection administrators
define_role, product_admin_role, Product Admin, All permissions required by Product administrators
define_role, product_developer_role, Product Developer, All permissions required by Product developer
define_role, authentication_admin_role, Authentication Admin, All permissions required by Authentication Administrator

# add entitlement (permission or role) to role
# add_entitlement_to_role, <role_id>, <entitlement_id>
add_entitlement_to_role, collection_admin_role, create_collection
add_entitlement_to_role, collection_admin_role, add_content
add_entitlement_to_role, product_admin_role, create_country
add_entitlement_to_role, product_admin_role, create_device
add_entitlement_to_role, product_developer_role, create_product
add_entitlement_to_role, authentication_admin_role, define_service
add_entitlement_to_role, authentication_admin_role, define_permission
add_entitlement_to_role, authentication_admin_role, define_role
add_entitlement_to_role, authentication_admin_role, add_entitlement
add_entitlement_to_role, authentication_admin_role, create_user
add_entitlement_to_role, authentication_admin_role, add_credential_to_user
add_entitlement_to_role, authentication_admin_role, add_entitlement_to_user

# create_user
# create_user <user_id>, <user_name>, <login_name>, <password>
create_user, product_admin, Product Admin, sam, secret
create_user, product_dev, Product Dev, joe, 1234
create_user, collection_admin, Collection Admin, lucy, 4567
create_user, authentication_admin, Authentication Admin, jill, 1234567

# add entitlement
# add_entitlement_to_user,<userid>,<entitlementid>
add_entitlement_to_user, product_admin, product_admin_role
add_entitlement_to_user, product_dev, product_developer_role
add_entitlement_to_user, collection_admin, collection_admin_role
add_entitlement_to_user, authentication_admin, authentication_admin_role


# end of file
